P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Cv,0.48,0.94,1.71,2.93,5.49,8.45,10.5,11.5,12,12.5
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Cv,0.85,1.73,3.22,5.71,8.81,11.6,13.7,15.5,16.5,17.1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,FL,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Xt,0.741,0.66,0.561,0.535,0.6,0.685,0.699,0.632,0.626,0.594
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,Cv,0.884,1.67,2.86,4.96,9.08,15.6,20.9,23,23.9,24.2
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,Xt,0.696,0.7,0.698,0.7,0.696,0.7,0.697,0.745,0.714,0.7
